"0.0","13.0","25.0","48.0","48.0","38.0","48.0","35.0","15.0","13.0"
"13.0","0.0","23.0","48.0","48.0","28.0","28.0","25.0","45.0","17.0"
"25.0","13.0","0.0","72.0","72.0","48.0","18.0","24.0","24.0","23.0"
"28.0","24.0","74.0","0.0","37.0","26.0","36.0","12.0","12.0","48.0"
"14.0","18.0","74.0","17.0","0.0","16.0","26.0","12.0","12.0","48.0"
"18.0","18.0","27.0","16.0","36.0","0.0","17.0","38.0","18.0","28.0"
"28.0","28.0","37.0","26.0","16.0","17.0","0.0","28.0","28.0","18.0"
"15.0","15.0","16.0","32.0","12.0","38.0","18.0","0.0","27.0","35.0"
"25.0","25.0","26.0","22.0","12.0","28.0","28.0","47.0","0.0","25.0"
"13.0","17.0","13.0","28.0","48.0","18.0","38.0","35.0","15.0","0.0"
